iter	Passed	Remaining
0	15	6257
1	24	4723
2	31	4156
3	40	3910
4	52	4091
5	61	3979
6	72	4035
7	82	3994
8	91	3932
9	100	3873
10	109	3821
11	118	3781
12	127	3733
13	137	3747
14	149	3797
15	162	3839
16	172	3836
17	182	3817
18	192	3805
19	204	3826
20	215	3844
21	227	3859
22	290	4695
23	332	5137
24	342	5068
25	352	5006
26	368	5019
27	386	5063
28	399	5037
29	410	4991
30	430	5053
31	442	5017
32	452	4962
33	461	4898
34	470	4842
35	480	4794
36	491	4754
37	501	4707
38	511	4669
39	522	4639
40	534	4613
41	544	4576
42	553	4533
43	564	4505
44	577	4491
45	588	4465
46	599	4441
47	610	4410
48	628	4440
49	642	4434
50	655	4421
51	666	4398
52	687	4435
53	707	4465
54	734	4539
55	757	4588
56	778	4615
57	799	4643
58	817	4655
59	834	4661
60	860	4713
61	895	4808
62	906	4776
63	920	4759
64	945	4799
65	992	4947
66	1003	4914
67	1019	4901
68	1029	4864
69	1039	4826
70	1050	4792
71	1061	4763
72	1074	4741
73	1089	4726
74	1103	4707
75	1114	4678
76	1126	4653
77	1137	4623
78	1147	4591
79	1159	4563
80	1172	4544
81	1182	4515
82	1216	4573
83	1231	4560
84	1247	4551
85	1258	4523
86	1275	4514
87	1284	4481
88	1295	4452
89	1307	4430
90	1317	4401
91	1327	4371
92	1337	4342
93	1346	4312
94	1359	4293
95	1369	4266
96	1380	4241
97	1390	4213
98	1407	4209
99	1417	4181
100	1426	4152
101	1436	4125
102	1447	4103
103	1457	4077
104	1472	4066
105	1485	4050
106	1500	4038
107	1509	4012
108	1518	3985
109	1528	3961
110	1539	3938
111	1550	3918
112	1564	3904
113	1575	3882
114	1585	3859
115	1603	3856
116	1613	3832
117	1629	3825
118	1659	3849
119	1685	3861
120	1705	3862
121	1717	3843
122	1732	3830
123	1745	3815
124	1758	3797
125	1769	3777
126	1782	3761
127	1798	3751
128	1841	3797
129	1854	3780
130	1868	3764
131	1880	3747
132	1891	3725
133	1903	3708
134	1914	3686
135	1937	3690
136	1958	3688
137	1978	3684
138	2023	3726
139	2061	3754
140	2089	3763
141	2102	3745
142	2111	3721
143	2123	3700
144	2149	3706
145	2175	3709
146	2184	3685
147	2194	3662
148	2205	3640
149	2215	3618
150	2234	3610
151	2244	3587
152	2253	3564
153	2268	3550
154	2279	3529
155	2292	3512
156	2304	3493
157	2318	3477
158	2328	3456
159	2340	3437
160	2356	3424
161	2366	3403
162	2380	3388
163	2396	3375
164	2406	3354
165	2415	3332
166	2430	3318
167	2443	3301
168	2453	3280
169	2464	3261
170	2473	3240
171	2483	3219
172	2493	3199
173	2502	3179
174	2512	3158
175	2525	3142
176	2536	3123
177	2546	3104
178	2555	3084
179	2566	3065
180	2576	3046
181	2588	3029
182	2598	3010
183	2613	2996
184	2628	2983
185	2642	2968
186	2653	2951
187	2672	2942
188	2684	2925
189	2697	2910
190	2707	2891
191	2717	2872
192	2727	2854
193	2739	2837
194	2776	2847
195	2816	2859
196	2839	2854
197	2848	2834
198	2857	2814
199	2866	2795
200	2876	2776
201	2888	2759
202	2900	2743
203	2913	2728
204	2926	2712
205	2935	2693
206	2945	2675
207	2955	2657
208	2965	2639
209	2979	2624
210	2988	2606
211	2998	2588
212	3007	2569
213	3017	2552
214	3027	2534
215	3037	2516
216	3053	2504
